run,algorithm,family,category,short_name,focus,window_iter_limit,window_best_eval_reward,window_final_eval_reward,window_mean_eval_reward,window_best_eval_epoch,window_first_one_peg_epoch,window_time_to_one_peg_minutes,window_final_pegs_left,window_min_pegs_left,window_eval_regression_gap,window_epochs,window_wall_clock_minutes,window_seconds_per_epoch,window_final_critic_loss,window_mean_critic_loss,window_final_entropy,window_mean_entropy,window_final_grad,window_note,best_eval_reward,final_eval_reward,mean_eval_reward,best_eval_epoch,first_one_peg_epoch,time_to_one_peg_minutes,final_pegs_left,min_pegs_left,eval_regression_gap,epochs,wall_clock_minutes,seconds_per_epoch,final_train_reward,best_train_reward,final_total_loss,final_actor_loss,final_critic_loss,mean_critic_loss,final_entropy,mean_entropy,final_grad,peak_grad,grad_source,note
A2C 2026-04-18 22-21-17_fc,A2C,fc,FC,A2C · FC,147-d flatten -> GELU MLP -> policy/value heads,3000,1.967741,1.967741,1.228807,2010,2010,13.754,1.0,1.0,0.0,3001,20.3,0.406,0.038318,0.030681,0.210754,0.992547,0.071089,1-peg solved; held solution,1.967741,1.967741,1.808984,2010,2010,13.754,1.0,1.0,0.0,14000,98.027,0.42,1.967741,1.967741,0.019956,0.005346,0.037255,0.036693,0.401764,0.487182,0.353261,1.438587,monitor_summary,1-peg solved; held solution
A2C 2026-04-19 00-30-50_cnn1,A2C,cnn1,CNN,A2C · CNN1,CNN-A: 5x5 + BatchNorm,3000,0.935483,0.064516,0.604971,200,,,30.0,3.0,0.870967,1821,15.128,0.498,0.016607,0.024614,2e-06,0.17831,0.033767,briefly improved then collapsed; entropy collapse,0.935483,0.064516,0.604971,200,,,30.0,3.0,0.870967,1821,15.128,0.498,0.064516,0.935483,0.008304,0.0,0.016607,0.024614,2e-06,0.17831,0.033767,7.533403,training_history,briefly improved then collapsed; entropy collapse
A2C 2026-04-19 00-48-53_cnn2,A2C,cnn2,CNN,A2C · CNN2,CNN-B: 3x3 + BatchNorm,3000,0.967741,0.935483,0.939449,360,,,3.0,2.0,0.032258,3001,25.142,0.503,0.023494,0.025798,0.394896,0.404363,0.068358,stable at 2 pegs,0.967741,0.967741,0.95167,360,,,2.0,2.0,0.0,14000,118.701,0.509,0.967741,0.967741,0.002272,-0.001114,0.018532,0.021759,0.587937,0.593705,0.023083,1.073076,monitor_summary,stable at 2 pegs
A2C 2026-04-19 03-18-03_cnn3,A2C,cnn3,CNN,A2C · CNN3,CNN-C: 5x5 + GroupNorm,3000,0.967741,0.0,0.815817,540,,,32.0,2.0,0.967741,926,8.965,0.581,0.013327,0.028731,0.005619,0.305798,0.097941,peaked at 2 pegs; entropy collapse,0.967741,0.0,0.815817,540,,,32.0,2.0,0.967741,926,8.965,0.581,0.0,0.967741,-0.007277,-0.013884,0.013327,0.028731,0.005619,0.305798,0.097941,8.352368,training_history,peaked at 2 pegs; entropy collapse
A2C 2026-04-19 03-29-09_cnn4,A2C,cnn4,CNN,A2C · CNN4,CNN-D: 3x3 + GroupNorm,3000,0.967741,0.967741,0.957025,240,,,2.0,2.0,0.0,3001,26.635,0.533,0.018274,0.022258,0.168732,0.456166,0.014546,stable at 2 pegs,0.967741,0.967741,0.96537,240,,,2.0,2.0,0.0,14000,123.859,0.531,0.967741,0.967741,0.002108,-0.001578,0.018834,0.01949,0.573111,0.436206,0.013974,0.93795,monitor_summary,stable at 2 pegs
A2C 2026-04-20 04-33-09_cnn5,A2C,cnn5,CNN,A2C · CNN5,CNN-E: 3x3 + GroupNorm + PreAct residual + SE,3000,0.967741,0.935483,0.917586,420,,,3.0,2.0,0.032258,3001,39.571,0.791,0.024305,0.027089,0.668982,0.726029,0.061799,stable at 2 pegs,0.967741,0.967741,0.931878,420,,,2.0,2.0,0.0,5000,66.037,0.792,0.967741,0.967741,-0.008892,-0.013931,0.020608,0.024685,0.526559,0.685162,0.026849,2.339124,monitor_summary,stable at 2 pegs
A2C 2026-04-20 16-18-59_transformer_1d,A2C,transformer_1d,Transformer,A2C · Transformer 1D,1D sinusoidal positional encoding,3000,0.903225,0.709677,0.814636,20,,,10.0,4.0,0.193548,2000,33.838,1.015,0.152193,0.708108,0.011824,0.034603,115.278057,briefly improved then collapsed; entropy collapse; gradient spike,0.903225,0.709677,0.814636,20,,,10.0,4.0,0.193548,2000,33.838,1.015,0.709677,0.903225,210.145233,210.069244,0.152193,0.708108,0.011824,0.034603,159.491123,1597.74231,monitor_summary,briefly improved then collapsed; entropy collapse; gradient spike
A2C 2026-04-20 16-19-00_transformer_2d,A2C,transformer_2d,Transformer,A2C · Transformer 2D,2D learnable row/col positional encoding,3000,0.903225,0.806451,0.819451,50,,,7.0,4.0,0.096774,2000,33.154,0.995,0.052296,0.400588,0.063755,0.151047,0.895013,briefly improved then collapsed,0.903225,0.806451,0.819451,50,,,7.0,4.0,0.096774,2000,33.154,0.995,0.806451,0.903225,-0.223838,-0.249349,0.052296,0.400588,0.063755,0.151047,1.860924,44.067562,monitor_summary,briefly improved then collapsed
PPO 2026-04-19 06-08-11_fc,PPO,fc,FC,PPO · FC,147-d flatten -> GELU MLP -> policy/value heads,3000,0.967741,0.967741,0.95113,580,,,2.0,2.0,0.0,3001,79.386,1.587,0.019256,0.022952,0.493954,0.609795,,stable at 2 pegs,0.967741,0.967741,0.964173,580,,,2.0,2.0,0.0,14000,388.734,1.666,0.967741,0.967741,0.000604,-0.00162,0.019532,0.021,0.754183,0.710416,0.239527,1.116004,monitor_summary,stable at 2 pegs
PPO 2026-04-19 13-07-41_cnn1,PPO,cnn1,CNN,PPO · CNN1,CNN-A: 5x5 + BatchNorm,3000,1.967741,1.967741,1.663165,880,880,31.444,1.0,1.0,0.0,3001,105.16,2.103,0.057046,0.044119,0.418836,0.516495,,1-peg solved; held solution,1.967741,1.967741,1.871503,880,880,31.444,1.0,1.0,0.0,9627,340.74,2.124,0.0,1.967741,0.012831,-0.002564,0.042794,0.046722,0.600197,0.548373,,,missing,1-peg solved; held solution
PPO 2026-04-19 19-16-25_cnn2,PPO,cnn2,CNN,PPO · CNN2,CNN-B: 3x3 + BatchNorm,3000,0.967741,0.967741,0.957132,230,,,2.0,2.0,0.0,3000,103.537,2.071,0.022378,0.025069,0.768779,0.722693,0.057385,stable at 2 pegs,0.967741,0.967741,0.957132,230,,,2.0,2.0,0.0,3000,103.537,2.071,0.967741,0.967741,-0.004897,-0.008398,0.022378,0.025069,0.768779,0.722693,0.09869,1.118467,monitor_summary,stable at 2 pegs
PPO 2026-04-19 21-08-53_cnn3,PPO,cnn3,CNN,PPO · CNN3,CNN-C: 5x5 + GroupNorm,3000,1.967741,1.967741,1.655128,900,900,32.293,1.0,1.0,0.0,3000,110.736,2.215,0.057387,0.046007,0.568597,0.571844,0.125119,1-peg solved; held solution,1.967741,1.967741,1.655128,900,900,32.293,1.0,1.0,0.0,3000,110.736,2.215,1.967741,1.967741,0.016419,-0.006588,0.057387,0.046007,0.568597,0.571844,0.083208,1.917154,monitor_summary,1-peg solved; held solution
PPO 2026-04-19 23-09-53_cnn4,PPO,cnn4,CNN,PPO · CNN4,CNN-D: 3x3 + GroupNorm,3000,0.967741,0.967741,0.957775,180,,,2.0,2.0,0.0,3000,110.74,2.215,0.023167,0.025616,0.709722,0.711907,0.11332,stable at 2 pegs,0.967741,0.967741,0.957775,180,,,2.0,2.0,0.0,3000,110.74,2.215,0.967741,0.967741,-0.003024,-0.00751,0.023167,0.025616,0.709722,0.711907,0.189582,3.031263,monitor_summary,stable at 2 pegs
PPO 2026-04-19 23-25-12_cnn5,PPO,cnn5,CNN,PPO · CNN5,CNN-E: 3x3 + GroupNorm + PreAct residual + SE,3000,0.903225,0.806451,0.765405,1080,,,7.0,4.0,0.096774,3001,171.825,3.435,0.03579,0.096534,1.281418,0.749562,,briefly improved then collapsed,0.903225,0.741935,0.783208,1080,,,9.0,4.0,0.16129,5000,289.234,3.471,0.741935,0.903225,0.013225,0.0,0.034961,0.071828,0.425522,0.746914,0.017409,0.628321,monitor_summary,briefly improved then collapsed
PPO 2026-04-20 14-18-23_transformer_1d,PPO,transformer_1d,Transformer,PPO · Transformer 1D,1D sinusoidal positional encoding,3000,0.903225,0.806451,0.819611,130,,,7.0,4.0,0.096774,2000,111.616,3.348,0.033016,0.101429,0.45857,0.379318,0.033378,briefly improved then collapsed,0.903225,0.806451,0.819611,130,,,7.0,4.0,0.096774,2000,111.616,3.348,0.806451,0.903225,0.013295,0.001373,0.033016,0.101429,0.45857,0.379318,0.056321,0.752925,monitor_summary,briefly improved then collapsed
PPO 2026-04-20 14-18-23_transformer_2d,PPO,transformer_2d,Transformer,PPO · Transformer 2D,2D learnable row/col positional encoding,3000,0.903225,0.741935,0.75333,1080,,,9.0,4.0,0.16129,2000,113.711,3.411,0.035716,0.128122,0.51917,0.441628,0.03504,briefly improved then collapsed,0.903225,0.741935,0.75333,1080,,,9.0,4.0,0.16129,2000,113.711,3.411,0.741935,0.903225,0.014664,0.001998,0.035716,0.128122,0.51917,0.441628,0.044535,0.679854,monitor_summary,briefly improved then collapsed
